date,metapsy-project/data-depression-psiloctr,Overall
2025-11-11,1,1
2025-11-12,3,3
2025-11-13,3,3
2025-11-14,5,5
2025-11-15,9,9
2025-11-16,17,17
2025-11-17,17,17
2025-11-18,21,21
2025-11-19,24,24
2025-11-20,26,26
2025-11-21,26,26
2025-11-22,27,27
2025-11-23,30,30
2025-11-24,30,30
2025-11-25,30,30
2025-11-26,30,30
2025-11-27,30,30
2025-11-28,31,31
2025-11-29,31,31
2025-11-30,32,32
2025-12-01,36,36
2025-12-02,37,37
2025-12-03,47,47
2025-12-04,47,47
2025-12-05,48,48
2025-12-06,48,48
2025-12-07,48,48
2025-12-08,48,48
2025-12-09,48,48
2025-12-10,48,48
2025-12-11,48,48
2025-12-12,48,48
2025-12-13,48,48
2025-12-14,48,48
2025-12-15,48,48
2025-12-16,48,48
2025-12-17,48,48
2025-12-18,48,48
2025-12-19,49,49
2025-12-20,49,49
2025-12-21,49,49
2025-12-22,49,49
2025-12-23,49,49
2025-12-24,49,49
2025-12-25,49,49
2025-12-26,50,50
2025-12-27,50,50
2025-12-28,50,50
2025-12-29,50,50
2025-12-30,51,51
2025-12-31,51,51
2026-01-01,51,51
2026-01-02,51,51
2026-01-03,52,52
2026-01-04,52,52
2026-01-05,52,52
2026-01-06,52,52
2026-01-07,52,52
