Covidence #,Study ID,Title,Reviewer Name,DOI,Trial Registry Number,Parent study DOI,Trial Phase,N randomized,N analyzed (if applicable),Target Population,Sex-specific population?,Psychedelic/Intervention Drug(s),Co-administration/Pre-treatment Drug(s),Comparator Drug,Cognitive,Drug experience questionnaires,Molecular,Neuroimaging,Physiological/Autonomic,PK/PD,Psychiatric,Functioning and well-being,Psychological process,Safety & tolerability,Sensorimotor & perception,Somatic health,Therapy process,Trial integrity,Other outcomes,What is the qualitative outcome?,Notes
39177,Ludwig 1969,A clinical study of LSD treatmnt in alcoholism,Analiese Lahey,10.1176/ajp.126.1.59,"","","",176,"",alcohol use disorder (AUD),"","","","waitlist/care as usual; Other: psychotherapy, hypnosis + psychotherapy","","","","","","","","","","","","","","","","",""
38621,Hollister 1969,A controlled comparison of lysergic acid diethylamide (LSD) and dextroamphetamine in alcoholics,Analiese Lahey,10.1176/ajp.125.10.1352,"","","",72,"",alcohol use disorder (AUD),"",LSD,"",Other: amphetamine,"","","","","","","","","","","","","","","","",""
30497,Avram 2026,Neuroplastic white matter changes in patients with major depression following lysergic acid diethylamide treatment.,Analiese Lahey,10.1016/j.xcrm.2026.102791,NCT03866252,"",2,"",35,depression,"",LSD,"",low-dose intervention drug,"",Acute,"",structural/diffusion,"","",depression,"","","","","","","","","",""
30267,Cavarra 2025,A randomised placebo-controlled study of the effects of lysergic acid diethylamide microdosing (15 μg) on pain perception in healthy volunteers.,Brooke Sevchik,10.1177/20494637251371626,"NL70508.068.19, NL-OMON55178","","",53,"",healthy volunteers,"",LSD,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
30267,Cavarra 2025,A randomised placebo-controlled study of the effects of lysergic acid diethylamide microdosing (15 μg) on pain perception in healthy volunteers.,Parker Singleton,10.1177/20494637251371626,NL70508.068.1; NL-OMON55178,"",Not Applicable,53,48,healthy volunteers,"",LSD,"","placebo (niacin, mannitol, sugar pill, etc.)","",Acute,"","","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)",PK,"","","","",Other: pain,pain,"","","","",""
30126,Baggott 2016,MDMA Impairs Response to Water Intake in Healthy Volunteers.,Parker Singleton,10.1155/2016/2175896,"","",Unregistered,"","",healthy volunteers,"",MDMA,Other: prazosin,"placebo (niacin, mannitol, sugar pill, etc.)","","",electrolytes; hormones,"","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)",PK,"","","","","","","","","","",""
30126,Baggott 2016,MDMA Impairs Response to Water Intake in Healthy Volunteers.,Madison Baltazar,10.1155/2016/2175896,"","",1,"","",healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.); Other: prazosin","","","","","","","","","","","","","","","","",""
30103,Arikci 2026,"Acute dose-dependent effects of 4-bromo-2,5-dimethoxyphenethylamine (2C-B) compared with 3,4-methylenedioxymethamphetamine (MDMA) and psilocybin in a double-blind, placebo-controlled study in healthy participants.",Parker Singleton,10.1038/s41386-026-02428-9, NCT05523401,"",1,24,"",healthy volunteers,"",2C-B; MDMA; psilocybin,"","placebo (niacin, mannitol, sugar pill, etc.); low-dose intervention drug",social cognition,Acute,"hormones; proteins (BDNF, inflammatory)","","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)",PK,"","","","adverse events (structured, detailed reporting); cardiovascular safety (QTc, arrhythmia, etc)","","","",blinding,"","",""
30103,Arikci 2026,"Acute dose-dependent effects of 4-bromo-2,5-dimethoxyphenethylamine (2C-B) compared with 3,4-methylenedioxymethamphetamine (MDMA) and psilocybin in a double-blind, placebo-controlled study in healthy participants.",Analiese Lahey,10.1038/s41386-026-02428-9,NCT05523401,"",1,24,"",healthy volunteers,"",2C-B; MDMA; psilocybin,"","placebo (niacin, mannitol, sugar pill, etc.); low-dose intervention drug",social cognition,Acute,hormones,"","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)",PK,"","","","adverse events (structured, detailed reporting); cardiovascular safety (QTc, arrhythmia, etc)","","","",blinding,"","",""
30081,Atila 2025,The effect of MDMA on anterior pituitary hormones: a secondary analysis of a randomized placebo-controlled trial.,Madison Baltazar,10.1530/EC-25-0254,NCT04648137,"",1,15,"",healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
30081,Atila 2025,The effect of MDMA on anterior pituitary hormones: a secondary analysis of a randomized placebo-controlled trial.,Parker Singleton,10.1530/EC-25-0254,NCT04648137,"",Not Applicable,"",15,healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.)","",Acute,hormones,"","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","","","","","","","","","","","",""
