Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Psilocybin with psychological support for treatment-resistant depression: six-month follow-up.,Carhart-Harris RL; Bolstridge M; Day CMJ; Rucker J; Watts R; Erritzoe DE; Kaelen M; Giribaldi B; Bloomfield M; Pilling S; Rickard JA; Forbes B; Feilding A; Taylor D; Curran HV; Nutt DJ,"RATIONALE: Recent clinical trials are reporting marked improvements in mental health outcomes with psychedelic drug-assisted psychotherapy. OBJECTIVES: Here, we report on safety and efficacy outcomes for up to 6 months in an open-label trial of psilocybin for treatment-resistant depression. METHODS: Twenty patients (six females) with (mostly) severe, unipolar, treatment-resistant major depression received two oral doses of psilocybin (10 and 25 mg, 7 days apart) in a supportive setting. Depressive symptoms were assessed from 1 week to 6 months post-treatment, with the self-rated QIDS-SR16 as the primary outcome measure. RESULTS: Treatment was generally well tolerated. Relative to baseline, marked reductions in depressive symptoms were observed for the first 5 weeks post-treatment (Cohen's d = 2.2 at week 1 and 2.3 at week 5, both p < 0.001); nine and four patients met the criteria for response and remission at week 5. Results remained positive at 3 and 6 months (Cohen's d = 1.5 and 1.4, respectively, both p < 0.001). No patients sought conventional antidepressant treatment within 5 weeks of psilocybin. Reductions in depressive symptoms at 5 weeks were predicted by the quality of the acute psychedelic experience. CONCLUSIONS: Although limited conclusions can be drawn about treatment efficacy from open-label trials, tolerability was good, effect sizes large and symptom improvements appeared rapidly after just two psilocybin treatment sessions and remained significant 6 months post-treatment in a treatment-resistant cohort. Psilocybin represents a promising paradigm for unresponsive depression that warrants further research in double-blind randomised control trials.",2018,Feb,Psychopharmacology (Berl),235,2,399-408,,10.1007/s00213-017-4771-x,29119217,#28274,Carhart-Harris 2018,Exclusion reason: Not an RCT; ,Possible RCT
In vivo and in vitro chromosomal damage induced by LSD-25.,Cohen MM; Hirschhorn K; Frosch WA,,1967,Nov,N Engl J Med,277,20,1043-9,,10.1056/NEJM196711162772001,4862522,#28729,Cohen 1967,Exclusion reason: Not an RCT; ,""
"3,4-Methylenedioxymethamphetamine (MDMA) abuse may cause oxidative stress and potential free radical damage.",Zhou JF; Chen P; Zhou YH; Zhang L; Chen HH,"OBJECTIVE: To investigate whether 3,4-methylenedioxymethamphetamine abuse (MDMA abuse) may cause oxidative stress and potential free radical damage in the bodies of MDMA abusers (MA), and to explore the mechanisms by which MDMA abuse may be causing oxidative stress. METHODS: One hundred and twenty MA and 120 healthy volunteers (HV) were enrolled in a random control study design, in which the level of lipoperoxide (LPO) in erythrocytes, and the levels of Vitamin C (VC), Vitamin E (VE) and beta-carotene (beta-CAR) in plasma as well as the activities of superoxide dismutase (SOD) and catalase (CAT) in erythrocytes were determined by spectrophotometric methods. RESULTS: Compared with the average values of the above biochemical parameters in the HV group, the average value of LPO in erythrocytes in the MA group was significantly increased (P < 0.0001), while the average values of VC, VE and beta-CAR in plasma as well as those of SOD and CAT in erythrocytes in the MA group were significantly decreased (P < 0.0001). The analysis of bivariate correlations suggested that with the increase of the MDMA abuse dose and the MDMA abuse duration, the level of LPO in erythrocytes in the MA was increased (P < 0.0001), while the levels of VC, VE and beta-CAR in plasma as well as the activities of SOD and CAT in erythrocytes in the MA were decreased (P < 0.0001). CONCLUSION: The findings in this study suggest that MDMA abuse may cause oxidative stress and potential free radical damage to MA.",2003,May,Free Radic Res,37,5,491-7,,10.1080/1071576031000076286,12797468,#29104,Zhou 2003,Exclusion reason: Not an RCT; ,Possible RCT
Acute cognitive effects of high doses of dextromethorphan relative to triazolam in humans.,Carter LP; Reissig CJ; Johnson MW; Klinedinst MA; Griffiths RR; Mintzer MZ,"BACKGROUND: Although concerns surrounding high-dose dextromethorphan (DXM) abuse have recently increased, few studies have examined the acute cognitive effects of high doses of DXM. The aim of this study was to compare the cognitive effects of DXM with those of triazolam and placebo. METHODS: Single, acute, oral doses of DXM (100, 200, 300, 400, 500, 600, 700, 800 mg/70 kg), triazolam (0.25, 0.5mg/70 kg), and placebo were administered p.o. to twelve healthy volunteers with histories of hallucinogen use, under double-blind conditions, using an ascending dose run-up design. Effects on cognitive performance were examined at baseline and after drug administration for up to 6h. RESULTS: Both triazolam and DXM produced acute impairments in attention, working memory, episodic memory, and metacognition. Impairments observed following doses of 100-300 mg/70 kg DXM were generally smaller in magnitude than those observed after 0.5mg/70 kg triazolam. Doses of DXM that impaired performance to the same extent as triazolam were in excess of 10-30 times the therapeutic dose of DXM. CONCLUSION: The magnitude of the doses required for these effects and the absence of effects on some tasks within the 100-300 mg/70 kg dose range of DXM, speak to the relatively broad therapeutic window of over-the-counter DXM preparations when used appropriately. However, the administration of supratherapeutic doses of DXM resulted in acute cognitive impairments on all tasks that were examined. These findings are likely relevant to cases of high-dose DXM abuse.",2013,Mar,Drug Alcohol Depend,128,3,206-13,,10.1016/j.drugalcdep.2012.08.025,22989498,#29283,Carter 2013,Exclusion reason: no psychedelic administered; ,Possible RCT
Ayahuasca Shifts Brain Dynamics Toward Higher Entropy: Persistent Elevation of Ising Temperature Correlates with Acute Subjective Effects,"Cabral-Carvalho, R.M.; Palhano-Fontes, F.; Araujo, D.B.; Sato, J.R.","Serotonergic psychedelics profoundly alter high-order cognition, emotion, and sensory perception, creating dynamic, unpredictable brain states consistent with the entropic brain hypothesis. Although these acute effects are short-lived, users often experience lasting improvements in emotional and social functioning. Yet, few studies have quantitatively linked subjective experiences to neural dynamics. To bridge this gap, we investigate the acute and subacute effects of ayahuasca using fMRI data and the 2D Ising model, estimating the Ising brain temperature to quantify the shift from ordered to disordered resting state configurations and expose the critical transitions that characterize ayahuasca-induced brain dynamics. To complement our analysis, we investigated cortical functional connectivity changes through graph-theoretical metrics, quantifying how psychedelic ingestion alters functional network architecture in acute and subacute phases. Only the Ising temperature reliably differentiated the subacute phase. Applying a recently developed method that combines cortical connectivity analyses with Graph Neural Networks trained on Ising networks, our results robustly revealed significant Ising temperature increases during the acute (p < 0.001) and subacute (p < 0.05) phases compared with placebo, reflecting heightened brain entropy and a persistent shift toward a more disordered, paramagnetic state. To evaluate longer-term effects, the subacute temperature change correlated linearly with affective scores on the Hallucinogenic Rating Scale (HRS) captured during the acute session (p < 0.01), with HRS scores explaining substantially greater variance in the subacute group (adjusted R2 = 0.58) than in the placebo group (adjusted R2 = –0.05). These observations suggest that ayahuasca elevates system entropy and that the magnitude of lasting functional alterations scales with the intensity of the acute subjective experience.",2025,,bioRxiv,,"(Cabral-Carvalho R.M., rodrigo.motta@ufabc.edu.br; Sato J.R.) Center of Mathematics, Computing and Cognition, Federal University of ABC, São Paulo, Brazil(Palhano-Fontes F.; Araujo D.B.) Brain Institute, Federal University of Rio Grande do Norte, Rio Gran",,,10.1101/2025.04.25.650509,,#31741,Cabral-Carvalho 2025,Exclusion reason: Preprint/conference poster; ,Possible RCT
Effect of LSD and music on the time-varying brain dynamics,"Adamska, I.; Finc, K.","Rationale Psychedelics are getting closer to being widely used in clinical treatment. Music is known as a key element of psychedelic-assisted therapy due to its psychological effects, speciflcally on the emotion, meaning-making and sensory processing. However, there is still a lack of understanding in how psychedelics influence brain activity in experimental settings involving music listening. Objectives The main goal of our research is to investigate the effect of music, as a part of “setting”, on the brain states dynamics after lysergic acid diethylamide (LSD) intake. Methods We used an open dataset, where a group of 15 participants underwent two functional MRI scanning sessions under LSD and placebo influence. Every scanning session contained three runs: two resting-state runs separated by one run with music listening. We applied K-Means clustering to identify the repetitive patterns of brain activity, so-called brain states. For further analysis, we calculated states' dwell time, fractional occupancy and transition probability. Results The interaction effect of music and psychedelics led to change in the time-varying brain activity of the task-positive state. LSD, regardless of the music, affected the dynamics of the state of combined activity of DMN, SOM and VIS networks. Crucially, we observed that the music itself could potentially have a long-term influence on the resting-state, in particular on states involving task-positive networks. Conclusions This study indicates that music, as a crucial element of “setting”, can potentially have an influence on the subject's resting-state during psychedelic experience. Further studies should replicate these results on a larger sample size.",2022,,bioRxiv,,"(Adamska I., adamskav.iga@gmail.com) Faculty of Philosophy and Social Sciences, Nicolaus Copernicus University, Toruń, Poland(Adamska I., adamskav.iga@gmail.com; Finc K., finc@umk.pl) Centre for Modern Interdisciplinary Technologies, Nicolaus Copernicus U",,,10.1101/2022.04.04.486673,,#32643,Adamska 2022,Exclusion reason: Preprint/conference poster; ,Possible RCT
Behavioral effects and central nervous system levels of the broadly available κ-agonist hallucinogen salvinorin A are affected by P-glycoprotein modulation in vivo,"Butelman, E.R.; Caspers, M.; Lovell, K.M.; Kreek, M.J.; Prisinzano, T.E.","Active blood-brain barrier mechanisms, such as the major efflux transporter P-glycoprotein (mdr1), modulate the in vivo/ central nervous system (CNS) effects of many pharmacological agents, whether they are used for nonmedical reasons or in pharmacotherapy. The powerful, widely available hallucinogen salvinorin A (from the plant Salvia divinorum) is a high-efficacy, selective κ-opioid agonist and displays fast-onset behavioral effects (e.g., within 1 min of administration) and relatively short duration of action. In vitro studies suggest that salvinorin A may be a P-glycoprotein substrate; thus, the functional status of P-glycoprotein may influence the behavioral effects of salvinorin A or its residence in CNS after parenteral administration. We therefore studied whether a competing P-glycoprotein substrate (the clinically available agent loperamide; 0.032-0.32 mg/kg) or a selective P-glycoprotein blocker, tariquidar (0.32-3.2 mg/kg) could enhance unconditioned behavioral effects (ptosis and facial relaxation, known to be caused by κ-agonists in nonhuman primates) of salvinorin A, as well as its entry and residence in the CNS, as measured by cerebrospinal fluid sampling. Pretreatment with either loperamide or tariquidar dosedependently enhanced salvinorin A-induced ptosis, but not facial relaxation. In a control study, loperamide and tariquidar were inactive when given as a pretreatment to ((+)-(5α,7α,8β)- Nmethyl- N-[7-(1-pyrrolidinyl)-1-oxaspiro[4.5]dec-8-yl]-benzeneacetamide (U69,593), a κ-agonist known to be a very poor P-glycoprotein substrate. Furthermore, pretreatment with tariquidar (3.2 mg/kg) also enhanced peak levels of salvinorin A in cerebrospinal fluid after intravenous administration. These are the first studies in vivo showing the sensitivity of salvinorin A effects to modulation by the P-glycoprotein transporter, a major functional component of the blood-brain barrier. Copyright © 2012 by The American Society for Pharmacology and Experimental Therapeutics.",2012,,Journal of Pharmacology and Experimental Therapeutics,341,3,802-808,,10.1124/jpet.112.193227,,#34046,Butelman 2012,Exclusion reason: Animal studies (non-human research); ,Possible RCT
"AGE MODULATES THE LONG-TERM BUT NOT THE ACUTE EFFECTS OF THE SEROTONERGIC NEUROTOXICANT 3,4-METHYLENEDIOXYMETHAMPHETAMINE","BROENING, HW; BACON, L; SLIKKER, W",,1994,,JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,271,1,285-293,WOS:A1994PN49000037,,,#36655,BROENING 1994,Exclusion reason: Animal studies (non-human research); ,""
Shared and Distinct Brain Regions Targeted for Immediate Early Gene Expression by Ketamine and Psilocybin,"Davoudian, PA; Shao, LX; Kwan, AC",,2023,,ACS CHEMICAL NEUROSCIENCE,14,3,468-480,WOS:000918148100001,10.1021/acschemneuro.2c00637,,#37785,Davoudian 2023,Exclusion reason: Animal studies (non-human research); ,""
A long-term ecstasy-related change in visual perception,"Brown, J.; Edwards, M.; McKone, E.; Ward, J.",,2007,,Psychopharmacology,193,3,437-446,,10.1007/s00213-007-0785-0,,#41832,Brown 2007,Exclusion reason: Not an RCT; ,""
