Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
LSD microdosing in major depressive disorder: results from an open-label trial.,Daldegan-Bueno D; Donegan CJ; Sumner R; Forsyth A; Evans W; Alshakhouri M; Reynolds L; Ponton R; Smith T; Roop P; Hoeh N; Allen N; Sundram F; Menkes D; Muthukumaraswamy S,"Major depressive disorder (MDD) affects approximately 5 % of the global population. Classic psychedelics have shown promise in treating various mental health disorders. This study evaluated the feasibility and tolerability of an 8-week regimen of microdosed lysergic acid diethylamide (LSD) as a treatment for major depressive disorder in an open-label phase 2A trial (LSDDEP1). Nineteen participants (15 male), most of whom were taking an antidepressant medication (n = 15), took 16 doses of LSD (8 μg initially, then 6-20 μg twice weekly at home), with the first dose administered in the clinic. We assessed tolerability through withdrawal rates due to adverse events and feasibility by clinic visit attendance. Safety measures included adverse events, blood laboratory tests, electrocardiography (ECG), and echocardiography. Depression was measured using the Montgomery-Åsberg Depression Rating Scale (MADRS). No serious or severe adverse events and clinical alterations in safety measures were observed, being this the first study to evaluate valvulopathy after repeated psychedelic administration in humans. One participant withdrew due to experiencing anxiety when dosing; all scheduled clinic visits were attended. MADRS scores were reduced by 59.5 % at the end of the intervention and were sustained for up to six months. Improvements were also noted in anxiety, rumination, stress, and quality of life. While limited by an open-label design and small sample size, this study provides preliminary evidence supporting the safety and feasibility of treating moderate depression with microdosed LSD and underscores a need for further randomised controlled trials. Trial registration: ANZCTR, ACTRN12623000486628 (12 May 2023).",2026,Feb,Neuropharmacology,283,,110762,,10.1016/j.neuropharm.2025.110762,41202873,#28398,Daldegan-Bueno 2026,"",Possible RCT
Psychedelic drugs: the ups and downs of ecstasy.,Check E,,2004,May,Nature,429,6988,126-8,,10.1038/429126a,15141183,#28588,Check 2004,"",""
Binding of [3H]paroxetine to serotonin uptake sites and of [3H]lysergic acid diethylamide to 5-HT2A receptors in platelets from women with premenstrual dysphoric disorder during gonadotropin releasing hormone treatment.,Bixo M; Allard P; Bäckström T; Mjörndal T; Nyberg S; Spigset O; Sundström-Poromaa I,"Changes in serotonergic parameters have been reported in psychiatric conditions such as depression but also in the premenstrual dysphoric disorder (PMDD). In addition, hormonal effects on serotonergic activity have been established. In the present study, binding of [3H]paroxetine to platelet serotonin uptake sites and binding of [3H]lysergic acid diethylamide ([3H]LSD) to platelet serotonin (5-HT)2A receptors were studied in patients with PMDD treated with a low dose of a gonadotropin releasing hormone (GnRH) agonist (buserelin) or placebo and compared to controls. The PMDD patients were relieved of premenstrual symptoms like depression and irritability during buserelin treatment. The number of [3H]paroxetine binding sites (Bmax) were significantly higher in the follicular phase in untreated PMDD patients compared to controls. When treated with buserelin the difference disappeared. No differences in [3H]LSD binding between the three groups were shown. The present study demonstrated altered platelet [3H]paroxetine binding characteristics in women with PMDD compared to controls. Furthermore, [3H]paroxetine binding was affected by PMDD treatment with a low dose of buserelin. The results are consistent with the hypothesis that changes in serotonergic transmission could be a trait in the premenstrual dysphoric disorder.",2001,Aug,Psychoneuroendocrinology,26,6,551-64,,10.1016/s0306-4530(01)00010-5,11403977,#28681,Bixo 2001,"",Possible RCT
Psilocybin-assisted therapy for anxiety and depression: implications for euthanasia.,Strauss N,,2017,Jun,Med J Aust,206,11,468-469,,10.5694/mja17.00081,28918722,#28696,Strauss 2017,"",""
"Validation of an ELISA-based screening assay for the detection of amphetamine, MDMA and MDA in blood and oral fluid.",Laloup M; Tilman G; Maes V; De Boeck G; Wallemacq P; Ramaekers J; Samyn N,"The use of amphetamine and 'ecstasy' (MDMA) has increased exponentially in many European countries since the late nineties, leading to a rapid growth in the number of clinical and forensic analyses. Therefore, a rapid screening procedure for these substances in biological specimens has become an important part of routine toxicological analysis in forensic laboratories. The objective of this study was to evaluate the Cozart amphetamine enzyme-linked immunosorbent assay (ELISA) for the screening of plasma samples and oral fluid samples (collected with the Intercept device). Authentic plasma samples from drivers (n=360) were screened, using an 1:5-fold dilution. True positive, true negative, false positive and false negative results were determined relative to the in-house routine GC-MS analysis. Samples consisted of 144 amphetamine-only positives, 141MDMA/MDA-only positives, and 74 negatives when using the limit of quantitation as the cut-off level for confirmation (10 ng/mL). Using these results, receiver operating characteristic (ROC) curves were generated and optimal cut-off values for the screening assay were calculated. Analysis showed that the ELISA is able to predict the presence of either amphetamine or *MDMA/MDA (*MDMA as its metabolite MDA) in plasma samples with 98.3% sensitivity and 100% specificity at a cut-off value of 66.5 ng/mL d-amphetamine equivalents. A similar analysis was conducted on 216 oral fluid specimens collected from a controlled double blind study. Subjects received placebo or a high (100 mg) or low (75 mg) dose of MDMA. Oral fluid samples were collected at 1.5 and 5.5h after administration. Combined results of the analysis of the high and low dose oral fluid samples indicated a screening cut-off of 51 ng/mL d-amphetamine equivalents with both a sensitivity and specificity of 98.6% (using a LC-MS/MS confirmation cut-off of 10 ng/mL). In conclusion, these data indicate that the Cozart AMP EIA plates constitute a fast and accurate screening technique for the identification of amphetamine and MDMA/MDA positive plasma samples and oral fluid specimens (collected with Intercept. It should be emphasized that method validation should be performed for each type of biological matrix.",2005,Oct,Forensic Sci Int,153,1,29-37,,10.1016/j.forsciint.2005.04.019,15922530,#28702,Laloup 2005,"",Possible RCT
Saccadic peak velocity and EEG as end-points for a serotonergic challenge test.,Gijsman HJ; van Gerven JM; Verkes RJ; Schoemaker RC; Pieters MS; Pennings EJ; Hessing TJ; Cohen AF,"We previously reported that a single dose of the serotonin receptor agonist meta-chlorophenylpiperazine increased the peak velocity of saccadic eye movements and decreased low-frequency electroencephalographic activity. METHODS: We administered a single dose of the serotonin releaser dexfenfluramine in a double blind, placebo controlled randomised cross-over design and measured saccadic eye movements and EEG every hour up to 6 h. Subjects were 62 males (18-30 years) with a history of no, moderate or heavy use of ecstasy tablets. RESULTS: Dexfenfluramine increased saccadic peak velocity and decreased alpha, delta and theta electroencephalographic activity, the latter predominantly in heavy users of ecstasy. CONCLUSIONS: This study supports the idea that saccadic peak velocity and EEG can be useful endpoints of a serotonergic challenge. This could be an important anatomical extension of these end-points, which until now were limited to the effect on hypothalamic serotonergic projections.",2002,Mar,Hum Psychopharmacol,17,2,83-9,,10.1002/hup.374,12404696,#28707,Gijsman 2002,"",Possible RCT
MDMA (ecstasy) pharmacokinetics in a CYP2D6 poor metaboliser and in nine CYP2D6 extensive metabolisers.,de la Torre R; Farré M; Mathúna BO; Roset PN; Pizarro N; Segura M; Torrens M; Ortuño J; Pujadas M; Camí J,,2005,Aug,Eur J Clin Pharmacol,61,7,551-4,,10.1007/s00228-005-0965-y,16041599,#28708,delaTorre 2005,"",""
Chromosome aberrations and LSD. A controlled study in 50 psychiatric patients.,Robinson JT; Chitham RG; Greenwood RM; Taylor JW,,1974,Sep,Br J Psychiatry,125,0,238-44,,10.1192/bjp.125.3.238,4422173,#28716,Robinson 1974,"",""
"Controlled sensory input: a note on the technic of drug evaluation with a preliminary report on a comparative study of sernyl, psilocybin, and LSD-25.",POLLARD JC; BAKKER C; UHR L; FEUERFILE DF,,1960,Dec,Compr Psychiatry,1,,377-80,,10.1016/s0010-440x(60)80061-2,13736851,#28718,POLLARD 1960,"",""
Opening doors of perception: psychedelic drugs and end-of-life care.,Macready N,,2012,Nov,J Natl Cancer Inst,104,21,1619-20,,10.1093/jnci/djs468,23104218,#28738,Macready 2012,"",""
