Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Effect of lysergic acid diethylamide (LSD) on reinforcement learning in humans.,Kanen JW; Luo Q; Rostami Kandroodi M; Cardinal RN; Robbins TW; Nutt DJ; Carhart-Harris RL; den Ouden HEM,"BACKGROUND: The non-selective serotonin 2A (5-HT(2A)) receptor agonist lysergic acid diethylamide (LSD) holds promise as a treatment for some psychiatric disorders. Psychedelic drugs such as LSD have been suggested to have therapeutic actions through their effects on learning. The behavioural effects of LSD in humans, however, remain incompletely understood. Here we examined how LSD affects probabilistic reversal learning (PRL) in healthy humans. METHODS: Healthy volunteers received intravenous LSD (75 μg in 10 mL saline) or placebo (10 mL saline) in a within-subjects design and completed a PRL task. Participants had to learn through trial and error which of three stimuli was rewarded most of the time, and these contingencies switched in a reversal phase. Computational models of reinforcement learning (RL) were fitted to the behavioural data to assess how LSD affected the updating ('learning rates') and deployment of value representations ('reinforcement sensitivity') during choice, as well as 'stimulus stickiness' (choice repetition irrespective of reinforcement history). RESULTS: Raw data measures assessing sensitivity to immediate feedback ('win-stay' and 'lose-shift' probabilities) were unaffected, whereas LSD increased the impact of the strength of initial learning on perseveration. Computational modelling revealed that the most pronounced effect of LSD was the enhancement of the reward learning rate. The punishment learning rate was also elevated. Stimulus stickiness was decreased by LSD, reflecting heightened exploration. Reinforcement sensitivity differed by phase. CONCLUSIONS: Increased RL rates suggest LSD induced a state of heightened plasticity. These results indicate a potential mechanism through which revision of maladaptive associations could occur in the clinical application of LSD.",2023,Oct,Psychol Med,53,14,6434-6445,,10.1017/S0033291722002963,36411719,#28301,Kanen 2023,"",Possible RCT
Low doses of lysergic acid diethylamide (LSD) increase reward-related brain activity.,Glazer J; Murray CH; Nusslock R; Lee R; de Wit H,"Renewed interest in classic psychedelics as treatments for psychiatric disorders warrants a deeper understanding of their neural mechanisms. Single, high doses of psychedelic drugs have shown promise in treating depressive disorders, perhaps by reversing deficits in reward processing in the brain. In addition, there are anecdotal reports that repeated ingestion of low doses of LSD, or ""microdosing"", improve mood, cognition, and feelings of wellbeing. However, the effects of low doses of classic psychedelics on reward processing have not been studied. The current study examined the effects of two single, low doses of LSD compared to placebo on measures of reward processing. Eighteen healthy adults completed three sessions in which they received placebo (LSD-0), 13 μg LSD (LSD-13) and 26 μg LSD (LSD-26) in a within-subject, double-blind design. Neural activity was recorded while participants completed the electrophysiological monetary incentive delay task. Event-related potentials were measured during feedback processing (Reward-Positivity: RewP, Feedback-P3: FB-P3, and Late-Positive Potential: LPP). Compared to placebo, LSD-13 increased RewP and LPP amplitudes for reward (vs. neutral) feedback, and LSD-13 and LSD-26 increased FB-P3 amplitudes for positive (vs. negative) feedback. These effects were unassociated with most subjective measures of drug effects. Thus, single, low doses of LSD (vs. placebo) increased three reward-related ERP components reflecting increased hedonic (RewP), motivational (FB-P3), and affective processing of feedback (LPP). These results constitute the first evidence that low doses of LSD increase reward-related brain activity in humans. These findings may have important implications for the treatment of depressive disorders.",2023,Jan,Neuropsychopharmacology,48,2,418-426,,10.1038/s41386-022-01479-y,36284231,#28310,Glazer 2023,"",Possible RCT
"Pharmacokinetics, pharmacodynamics and urinary recovery of oral lysergic acid diethylamide administration in healthy participants.",Holze F; Erne L; Duthaler U; Liechti ME,"AIMS: Lysergic acid diethylamide (LSD) is currently investigated for several neurological and psychiatric illnesses. Various studies have investigated the pharmacokinetics and the pharmacokinetic-pharmacodynamic relationship of LSD in healthy participants, but data on urinary recovery and confirmatory studies are missing. METHODS: The present study characterized the pharmacokinetics, pharmacokinetic-pharmacodynamic relationship and urinary recovery of LSD at doses of 85 and 170 μg administered orally in 28 healthy participants. The plasma concentrations and subjective effects of LSD were continuously evaluated over a period of 24 h. Urine was collected during 3 time intervals (0-8, 8-16 and 16-24 h after LSD administration). Pharmacokinetic parameters were determined using compartmental modelling. Concentration-subjective effect relationships were described using pharmacokinetic-pharmacodynamic modelling. RESULTS: Mean (95% confidence interval) maximal LSD concentrations were 1.8 ng/mL (1.6-2.0) and 3.4 ng/mL (3.0-3.8) after the administration of 85 and 170 μg LSD, respectively. Maximal concentrations were achieved on average after 1.7 h. Elimination half-lives were 3.7 h (3.4-4.1) and 4.0 h (3.6-4.4), for 85 and 170 μg LSD, respectively. Only 1% of the administered dose was recovered from urine unchanged within the first 24 h, 16% was eliminated as 2-oxo-3-hydroxy-LSD. Urinary recovery was dose proportional. Mean (±standard deviation) durations of subjective effects were 9.3 ± 3.2 and 11 ± 3.7 h, and maximal effects (any drug effects) were 77 ± 18% and 87 ± 13% after 85 and 170 μg of LSD, respectively. CONCLUSION: The present novel study validates previous findings. LSD exhibited dose-proportional pharmacokinetics and first-order elimination kinetics and dose-dependent duration and intensity of subjective effects. LSD is extensively metabolized and shows dose-proportional urinary recovery.",2024,Jan,Br J Clin Pharmacol,90,1,200-208,,10.1111/bcp.15887,37596682,#28325,Holze 2024,"",Possible RCT
Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.,Holze F; Liechti ME; Hutten NRPW; Mason NL; Dolder PC; Theunissen EL; Duthaler U; Feilding A; Ramaekers JG; Kuypers KPC,"""Microdoses"" of lysergic acid diethylamide (LSD) are used recreationally to enhance mood and cognition. Increasing interest has also been seen in developing LSD into a medication. Therefore, we performed a pharmacokinetic-pharmacodynamic study using very low doses of LSD. Single doses of LSD base (5, 10, and 20 µg) and placebo were administered in a double-blind, randomized, placebo-controlled crossover study in 23 healthy participants. Test days were separated by at least 5 days. Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration. Pharmacokinetic parameters were determined using compartmental modeling. Concentration-subjective effect relationships were described using pharmacokinetic-pharmacodynamic modeling. Mean (95% confidence interval) maximal LSD concentrations were 151 pg/mL (127-181), 279 pg/mL (243-320), and 500 pg/mL (413-607) after 5, 10, and 20 µg LSD administration, respectively. Maximal concentrations were reached after 1.1 hours. The mean elimination half-life was 2.7 hours (1.5-6.2). The 5 µg dose of LSD elicited no significant acute subjective effects. The 10 µg dose of LSD significantly increased ratings of ""under the influence"" and ""good drug effect"" compared with placebo. These effects began an average of 1.1 hours after 10 µg LSD administration, peaked at 2.5 hours, and ended at 5.1 hours. The 20 µg dose of LSD significantly increased ratings of ""under the influence,"" ""good drug effects,"" and ""bad drug effects."" LSD concentrations dose-proportionally increased at doses as low as 5-20 µg and decreased with a half-life of 3 hours. The threshold dose of LSD base for psychotropic effects was 10 µg.",2021,Mar,Clin Pharmacol Ther,109,3,658-666,,10.1002/cpt.2057,32975835,#28329,Holze 2021,"",Possible RCT
LSD and ketanserin and their impact on the human autonomic nervous system.,Olbrich S; Preller KH; Vollenweider FX,"The interest in lysergic acid diethylamide (LSD) has sparked again due to its supposed positive effects on psychopathological conditions. Yet, most research focuses on the actions of LSD on the central nervous system. The interaction with the autonomic nervous system (ANS) has been neglected so far. Therefore, the aim was to assess the effects of LSD and the serotonin 2A receptor antagonist ketanserin on the ANS as assessed by heart rate variability (HRV) measures and their correlation with subjective drug-induced effects in a randomized, placebo-controlled crossover trial. Thus, ANS activity was derived from electrocardiogram recordings after intake of placebo, LSD or ketanserin, and LSD by calculating R-peak-based measures of sympathetic and parasympathetic activity. Repeated measure ANOVA and partial correlation for HRV measures and subjective experience questionnaires were performed. LSD predominantly increased sympathetic activity, while ketanserin counteracted this effect on the ANS via an increase of parasympathetic tone. Sympathetic activity was positively and parasympathetic activity negatively associated with psychedelic effects of LSD. Furthermore, Placebo HRV measures predicted subjective experiences after LSD intake. The association between trait ANS activity and LSD-induced subjective experiences may serve as a candidate biomarker set for the effectiveness of LSD in the treatment of psychopathological conditions.",2021,Jun,Psychophysiology,58,6,e13822,,10.1111/psyp.13822,33772794,#28331,Olbrich 2021,"",Possible RCT
"Distinct acute effects of LSD, MDMA, and D-amphetamine in healthy subjects.",Holze F; Vizeli P; Müller F; Ley L; Duerig R; Varghese N; Eckert A; Borgwardt S; Liechti ME,"Lysergic acid diethylamide (LSD) is a classic psychedelic, 3,4-methylenedioxymethamphetamine (MDMA) is an empathogen, and D-amphetamine is a classic stimulant. All three substances are used recreationally. LSD and MDMA are being investigated as medications to assist psychotherapy, and D-amphetamine is used for the treatment of attention-deficit/hyperactivity disorder. All three substances induce distinct acute subjective effects. However, differences in acute responses to these prototypical psychoactive substances have not been characterized in a controlled study. We investigated the acute autonomic, subjective, and endocrine effects of single doses of LSD (0.1 mg), MDMA (125 mg), D-amphetamine (40 mg), and placebo in a randomized, double-blind, cross-over study in 28 healthy subjects. All of the substances produced comparable increases in hemodynamic effects, body temperature, and pupil size, indicating equivalent autonomic responses at the doses used. LSD and MDMA increased heart rate more than D-amphetamine, and D-amphetamine increased blood pressure more than LSD and MDMA. LSD induced significantly higher ratings on the 5 Dimensions of Altered States of Consciousness scale and Mystical Experience Questionnaire than MDMA and D-amphetamine. LSD also produced greater subjective drug effects, ego dissolution, introversion, emotional excitation, anxiety, and inactivity than MDMA and D-amphetamine. LSD also induced greater impairments in subjective ratings of concentration, sense of time, and speed of thinking compared with MDMA and D-amphetamine. MDMA produced greater ratings of good drug effects, liking, high, and ego dissolution compared with D-amphetamine. D-Amphetamine increased ratings of activity and concentration compared with LSD. MDMA but not LSD or D-amphetamine increased plasma concentrations of oxytocin. None of the substances altered plasma concentrations of brain-derived neurotrophic factor. These results indicate clearly distinct acute effects of LSD, MDMA, and D-amphetamine and may assist the dose-finding in substance-assisted psychotherapy research.",2020,Feb,Neuropsychopharmacology,45,3,462-471,,10.1038/s41386-019-0569-3,31733631,#28339,Holze 2020,"",Possible RCT
A placebo-controlled investigation of synaesthesia-like experiences under LSD.,Terhune DB; Luke DP; Kaelen M; Bolstridge M; Feilding A; Nutt D; Carhart-Harris R; Ward J,"The induction of synaesthesia in non-synaesthetes has the potential to illuminate the mechanisms that contribute to the development of this condition and the shaping of its phenomenology. Previous research suggests that lysergic acid diethylamide (LSD) reliably induces synaesthesia-like experiences in non-synaesthetes. However, these studies suffer from a number of methodological limitations including lack of a placebo control and the absence of rigorous measures used to test established criteria for genuine synaesthesia. Here we report a pilot study that aimed to circumvent these limitations. We conducted a within-groups placebo-controlled investigation of the impact of LSD on colour experiences in response to standardized graphemes and sounds and the consistency and specificity of grapheme- and sound-colour associations. Participants reported more spontaneous synaesthesia-like experiences under LSD, relative to placebo, but did not differ across conditions in colour experiences in response to inducers, consistency of stimulus-colour associations, or in inducer specificity. Further analyses suggest that individual differences in a number of these effects were associated with the propensity to experience states of absorption in one's daily life. Although preliminary, the present study suggests that LSD-induced synaesthesia-like experiences do not exhibit consistency or inducer-specificity and thus do not meet two widely established criteria for genuine synaesthesia.",2016,Jul,Neuropsychologia,88,,28-34,,10.1016/j.neuropsychologia.2016.04.005,27059209,#28347,Terhune 2016,Brooke Sevchik (2026-05-28 01:52:49)(Select): don't think it was double-blind; ,Possible RCT
Pharmacology of MDMA in humans.,de la Torre R; Farré M; Roset PN; Lopez CH; Mas M; Ortuño J; Menoyo E; Pizarro N; Segura J; Cami J,"MDMA given at recreational doses (range tested 50 to 150 mg) to healthy volunteers, produced mydriasis and marked increases in systolic and diastolic blood pressure, heart rate, and pupillary diameter. MDMA induced changes on oral temperature. The time course of this observation was biphasic, as a slight decrease at 1 h and a slight increase at 2 and 4 h were observed. MDMA induced a slight dose-dependent impairment on psychomotor performance. MDMA produced a marked rise in plasma cortisol and prolactin concentrations. The elimination half-life of MDMA was about 8-9 h. Drug concentrations increased, and a parallel increase in physiologic and hormonal measures was observed. Both peak concentrations and peak effects were obtained between 1 and 2 h and decreased to baseline values 4-6 h after drug administration.",2000,Sep,Ann N Y Acad Sci,914,,225-37,,10.1111/j.1749-6632.2000.tb05199.x,11085324,#28349,delaTorre 2000,"Parker Singleton (2026-06-18 01:29:10)(Select): Pooled analysis, but not sure if the original reports are clearly cited.; ",Possible RCT
Acute Effects of Lysergic Acid Diethylamide in Healthy Subjects.,Schmid Y; Enzler F; Gasser P; Grouzmann E; Preller KH; Vollenweider FX; Brenneisen R; Müller F; Borgwardt S; Liechti ME,"BACKGROUND: After no research in humans for >40 years, there is renewed interest in using lysergic acid diethylamide (LSD) in clinical psychiatric research and practice. There are no modern studies on the subjective and autonomic effects of LSD, and its endocrine effects are unknown. In animals, LSD disrupts prepulse inhibition (PPI) of the acoustic startle response, and patients with schizophrenia exhibit similar impairments in PPI. However, no data are available on the effects of LSD on PPI in humans. METHODS: In a double-blind, randomized, placebo-controlled, crossover study, LSD (200 μg) and placebo were administered to 16 healthy subjects (8 women, 8 men). Outcome measures included psychometric scales; investigator ratings; PPI of the acoustic startle response; and autonomic, endocrine, and adverse effects. RESULTS: Administration of LSD to healthy subjects produced pronounced alterations in waking consciousness that lasted 12 hours. The predominant effects induced by LSD included visual hallucinations, audiovisual synesthesia, and positively experienced derealization and depersonalization phenomena. Subjective well-being, happiness, closeness to others, openness, and trust were increased by LSD. Compared with placebo, LSD decreased PPI. LSD significantly increased blood pressure, heart rate, body temperature, pupil size, plasma cortisol, prolactin, oxytocin, and epinephrine. Adverse effects produced by LSD completely subsided within 72 hours. No severe acute adverse effects were observed. CONCLUSIONS: In addition to marked hallucinogenic effects, LSD exerts methylenedioxymethamphetamine-like empathogenic mood effects that may be useful in psychotherapy. LSD altered sensorimotor gating in a human model of psychosis, supporting the use of LSD in translational psychiatric research. In a controlled clinical setting, LSD can be used safely, but it produces significant sympathomimetic stimulation.",2015,Oct,Biol Psychiatry,78,8,544-53,ClinicalTrials.gov/NCT01878942,10.1016/j.biopsych.2014.11.015,25575620,#28353,Schmid 2015,"",Possible RCT
"Repeated low doses of LSD in healthy adults: A placebo-controlled, dose-response study.",de Wit H; Molla HM; Bershad A; Bremmer M; Lee R,"The resurgence of interest in using psychedelic drugs, including lysergic acid diethylamide (LSD), in psychiatry has drawn attention to the medically unsupervised practice of 'microdosing'. Thousands of users claim that very low doses of LSD, taken at 3-4-day intervals, improve mood and cognitive function., However, few controlled studies have described the effects of the drug when taken in this way. Here, in a double-blind controlled study, we studied the effects of four repeated doses of LSD tartrate (13 or 26 μg) or placebo, administered to healthy adults at 3-4 day intervals, on mood, cognitive performance and responses to emotional tasks. Participants were randomly assigned to one of three drug conditions: placebo (N = 18), 13 μg LSD (N = 19), or 26 μg LSD (N = 19). They attended four 5-hour drug-administration sessions separated by 3-4 days, followed by a drug-free follow-up session 3-4 days after the last session. LSD (26 μg) produced modest subjective effects including increased ratings of 'feeling a drug effect' and both stimulant-like and LSD-like effects, but the drug did not improve mood or affect performance on psychomotor or most emotional tasks. No residual effects were detected on mood or task performance on the drug-free follow-up session. We conclude that within the context of a controlled setting and a limited number of administrations, repeated low doses of LSD are safe, but produce negligible changes in mood or cognition in healthy volunteers.",2022,Mar,Addict Biol,27,2,e13143,,10.1111/adb.13143,35106880,#28354,deWit 2022,"",Possible RCT
